Taxa,CommonName,Family,Order,Class,include,Juv.cut.cm,fishcode,WL_Non.standard,WL_a,WL_b,WL_W_units,WL_L_units,WL_input_length,WL_Reference_Notes,WL_Notes,LC.a._for_WL,LC.b._for_WL,LC_type_for_WL,LL_Reference_Notes_for_WL,LL_Equation_for_WL,VBGF.Linf,VBGF.k,VBGF.t0,VBGF.Linf.F,VBGF.k.F,VBGF.t0.F,VBGF.Linf.M,VBGF.k.M,VBGF.t0.M,VBGF_input_length,VBGF.Reference,VBGF_Reference_Notes,LC.a._for_VBGF,LC.b._for_VBGF,LC_type_for_VBGF,LL_reference_for_VBGF,LL_equation_for_VBGF,F_Type,F_a,F_b,F_L_units,F_input_length,DescriptionA,Output.units,F_Citation,Size_Mature_cm,SM_input_length,F_SM_Notes,guild,description,LETTER.6,Code,pisco_classcode,crane_code,VGR.code,RCCA.code,KFM.species.number,KFM.species.code,LTER.code,rigbase.fishcode,rigbase_Scientific_Name,rigbase_Common_Name,rigbase_sp_sub_gp,rigbase_species_grp,rigbase_Family,rigbase_category,spelling.old.name,Max_Length_fishbase,No.Lat,So.Lat,lim_min_in,TrophicGroup,BroadTrophic,Targeted,Notes_TG,Biomass_Buster
Amphistichus argenteus,barred surfperch,Embiotocidae,Perciformes,Actinopterygii,1,10,,NA,0.03,3,g,cm,SL,Ruiz-Campos et al. 2006,,0.805,0.203,TYPICAL,Karpov and Kwiecien 1988,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,Karpov and Kwiecien 1988,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,AMPARG,15400,,,Amphistichus argenteus,,NA,,,,,,,,,,,43,NA,NA,NA,benthic micro-invertivore,carnivore,Targeted,,1
Apogon guadalupensis,Guadalupe cardinalfish,Apogonidae,Perciformes,Actinopterygii,1,10,,NA,0.01034,3.07492,g ,cm,TL,Balart et al. 2006 (used A. pacificus),,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,,APOGUA,99114,,,Apogon guadalupensis,,NA,,,,,,,,,,,13,33,23,NA,benthic micro-invertivore,carnivore,Non-targeted,,1
Artedius sp.,sculpin,Cottidae,Scorpaeniformes,Actinopterygii,1,3,,NA,3.19E-05,2.8831,g,mm,SL,used Artedius corallinus,,0.8414,-0.10798,TYPICAL,used Artedius corallinus,(SL = aTL+b)cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,NA,,,,,,,,,,Artedius sp,NA,NA,NA,NA,benthic micro-invertivore,carnivore,Non-targeted,,1
Gibbonsia elegans,spotted kelpfish,Clinidae,Perciformes,Actinopterygii,1,5,,NA,4.80E-06,3.2364,g,mm,SL,Williams et al. 2013,,1.1532,-0.03716,REVERSE,Williams et al. 2013,TL= 1.1532 *SL + -0.3716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,1.1532,-0.03716,REVERSE,Williams et al. 2013,TL= 1.1532 *SL + -0.3716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,,GIBELE,17502,,GIBB,,,NA,,,,,,,,,,Gibonsia elegans,16,35,24,NA,benthic micro-invertivore,carnivore,Non-targeted,,1
Prognathodes falcifer,scythe butterflyfish,Chaetodontidae,Perciformes,Actinopterygii,1,10,,NA,4.70E-06,3.227,g,mm,TL,used Hyperprosopon ellipticum,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,CHAFAL,NA,,,,,NA,,,,,,,,,,Chaetodon falcifer,15,NA,NA,NA,benthic micro-invertivore,carnivore,Non-targeted,,1
Rhinobatos productus,shovelnose guitarfish,Rhinobatidae,Rajiformes,Elasmobranchii,1,10,,NA,3.43E-06,3.0125,g,mm,TL,Williams et al. 2013,,NA,NA,NA,,,1084,0.189,-0.1,NA,NA,NA,NA,NA,NA,NA,Valdez-Ornelas et al. 2007,TL mm,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,,RHIPRO,39012,,,Rhinobatos productus,,NA,,,,,,,,,,Rhinobatis productus,119,NA,NA,NA,benthic macro-invertivore,carnivore,Targeted,,?
Scorpaenodes xyris,rainbow scorpionfish,Scorpaenidae,Scorpaeniformes,Actinopterygii,1,10,,NA,0.0167,2.9253,g,cm,TL,Balart et al. 2006,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,SCOXYR,99113,,,Scorpaenodes xyris,,NA,,,,,,,,,,,15,33,10,NA,benthic macro-invertivore,carnivore,Targeted,,1
Sebastes semicinctus,halfbanded rockfish,Sebastidae,Scorpaeniformes,Actinopterygii,1,10,HALFB,NA,4.43E-09,3.182,kg,mm,TL,RecFIN,,NA,NA,NA,,,NA,NA,NA,18.14,0.37,-1.37,14.62,0.45,-1.46,TL,Love et al. 1990 ,TL cm,NA,NA,NA,,,F,0.289,3.9157,cm,TL,F=aTL(cm)^b    egg production (Eggs excised from ovarian membrane and  in Gilson's solution),eggs/gonad,"Love 1990 (multiplied \a\"" by 1000 since units were 1000's of eggs)""",11,TL,(Female L50 - Love 1990) one brood per year,NA,,SEBSEM,NA,,,Sebastes semicinctus,,NA,,,HALFB,Sebastes semicinctus,halfbanded rockfish,ROCKFISH,ROCKFISH,Scorpaenidae,Dwarf rockfishes,,25,37,27,NA,planktivore,planktivore,Targeted,,1
Sebastes serranoides/S. flavidus (YOY),olive/yellowtail rockfish (YOY),Sebastidae,Scorpaeniformes,Actinopterygii,1,10,,NA,6.31E-06,3.136,g,mm,TL,used Sebastes serranoides,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,Substrate associated  nocturnal visual,NA,NA,,,,,NA,,,,,,,,,,,NA,NA,NA,NA,planktivore,planktivore,Non-targeted,,1
Sebastes umbrosus,honeycomb rockfish,Sebastidae,Scorpaeniformes,Actinopterygii,1,10,HONEY,NA,5.80E-09,3.1969,kg,mm,TL,RecFIN,,NA,NA,NA,,,24.9,0.11,-0.54,NA,NA,NA,NA,NA,NA,SL,Chen 1971,SL cm- Ages determined with whole otoliths,1.215,0.1816,REVERSE,Echeverria and Lenarz 1984,,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,SEBUMB,16143,,,Sebastes umbrosus,,NA,,,HONEY,Sebastes umbrosus,honeycomb rockfish,sebastomus_gp,ROCKFISH,Scorpaenidae,,,29.8,37,26,NA,benthic micro-invertivore,carnivore,Targeted,groups are a guess no one knows what they eat,1
Syngnathus californiensis,kelp pipefish,Syngnathidae,Syngnathiformes,Actinopterygii,1,10,,NA,8.45E-08,3.3487,g,mm,SL,used Synganthus leptorhynchus,,1.0212,0.11986,REVERSE,used Synganthus leptorhynchus,TL= 1.0212 *SL + 1.1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,SYNCAL,26812,,,,,NA,,,,,,,,,,,50,37,24,NA,planktivore,planktivore,Non-targeted,,1
unidentified fish,unidentified fish,NA,NA,NA,0,10,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,unidentified fish,,NA,,,,,,,,,,Unidentified Fish,NA,NA,NA,NA,,,,,1
Zapteryx exasperata,banded guitarfish,Rhinobatidae,Rajiformes,Elasmobranchii,1,10,,NA,1.00E-06,3.4226,kg,cm,TL,Blanco-Parra et al. 2009,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,,NA,NA,,,,,,NA,,,NA,,ZAPEXA,10602,,,Zapteryx exasperata,,NA,,,,,,,,,,,83,33,9,NA,benthic macro-invertivore,carnivore,Targeted,,0
